ram usage, max ram, swap usage, max swap
1070000 KB, 1968580 KB, 686660 KB, 2191356 KB
1070108 KB, 1968580 KB, 686660 KB, 2191356 KB
1070108 KB, 1968580 KB, 686660 KB, 2191356 KB
1070108 KB, 1968580 KB, 686660 KB, 2191356 KB
1070108 KB, 1968580 KB, 686660 KB, 2191356 KB
1070100 KB, 1968580 KB, 686660 KB, 2191356 KB
1089728 KB, 1968580 KB, 686660 KB, 2191356 KB
1120216 KB, 1968580 KB, 686660 KB, 2191356 KB
1142140 KB, 1968580 KB, 686660 KB, 2191356 KB
1173136 KB, 1968580 KB, 686660 KB, 2191356 KB
1203616 KB, 1968580 KB, 686660 KB, 2191356 KB
1233848 KB, 1968580 KB, 686660 KB, 2191356 KB
1264340 KB, 1968580 KB, 686660 KB, 2191356 KB
1289264 KB, 1968580 KB, 686660 KB, 2191356 KB
1321016 KB, 1968580 KB, 686660 KB, 2191356 KB
1349200 KB, 1968580 KB, 686660 KB, 2191356 KB
1376512 KB, 1968580 KB, 688452 KB, 2191356 KB
1403392 KB, 1968580 KB, 689988 KB, 2191356 KB
1433796 KB, 1968580 KB, 689988 KB, 2191356 KB
1457500 KB, 1968580 KB, 691012 KB, 2191356 KB
1458256 KB, 1968580 KB, 717820 KB, 2191356 KB
1490864 KB, 1968580 KB, 717820 KB, 2191356 KB
1484388 KB, 1968580 KB, 747772 KB, 2191356 KB
1517344 KB, 1968580 KB, 747772 KB, 2191356 KB
1493504 KB, 1968580 KB, 796124 KB, 2191356 KB
1526684 KB, 1968580 KB, 796124 KB, 2191356 KB
1537472 KB, 1968580 KB, 803548 KB, 2191356 KB
1569864 KB, 1968580 KB, 803548 KB, 2191356 KB
1532716 KB, 1968580 KB, 825820 KB, 2191356 KB
1542848 KB, 1968580 KB, 842716 KB, 2191356 KB
1518692 KB, 1968580 KB, 889128 KB, 2191356 KB
1550412 KB, 1968580 KB, 889128 KB, 2191356 KB
1563368 KB, 1968580 KB, 888872 KB, 2191356 KB
1523312 KB, 1968580 KB, 946460 KB, 2191356 KB
1554776 KB, 1968580 KB, 946460 KB, 2191356 KB
1585520 KB, 1968580 KB, 946460 KB, 2191356 KB
1551352 KB, 1968580 KB, 999240 KB, 2191356 KB
1582096 KB, 1968580 KB, 999240 KB, 2191356 KB
1539500 KB, 1968580 KB, 1066400 KB, 2191356 KB
1570472 KB, 1968580 KB, 1066400 KB, 2191356 KB
1534728 KB, 1968580 KB, 1123192 KB, 2191356 KB
1567528 KB, 1968580 KB, 1122936 KB, 2191356 KB
1571448 KB, 1968580 KB, 1140928 KB, 2191356 KB
1594060 KB, 1968580 KB, 1140928 KB, 2191356 KB
1626032 KB, 1968580 KB, 1138880 KB, 2191356 KB
1612744 KB, 1968580 KB, 1161728 KB, 2191356 KB
1644148 KB, 1968580 KB, 1161728 KB, 2191356 KB
1662516 KB, 1968580 KB, 1169152 KB, 2191356 KB
1693764 KB, 1968580 KB, 1169152 KB, 2191356 KB
1680016 KB, 1968580 KB, 1186016 KB, 2191356 KB
1712020 KB, 1968580 KB, 1185760 KB, 2191356 KB
1702860 KB, 1968580 KB, 1214024 KB, 2191356 KB
1717452 KB, 1968580 KB, 1230728 KB, 2191356 KB
1711908 KB, 1968580 KB, 1268256 KB, 2191356 KB
1754932 KB, 1968580 KB, 1254508 KB, 2191356 KB
1769020 KB, 1968580 KB, 1269668 KB, 2191356 KB
1761100 KB, 1968580 KB, 1307452 KB, 2191356 KB
1768936 KB, 1968580 KB, 1330588 KB, 2191356 KB
1778184 KB, 1968580 KB, 1355980 KB, 2191356 KB
1794376 KB, 1968580 KB, 1375948 KB, 2191356 KB
1809228 KB, 1968580 KB, 1387724 KB, 2191356 KB
1769940 KB, 1968580 KB, 1454296 KB, 2191356 KB
1800920 KB, 1968580 KB, 1454040 KB, 2191356 KB
1809288 KB, 1968580 KB, 1473752 KB, 2191356 KB
1762456 KB, 1968580 KB, 1543848 KB, 2191356 KB
1793396 KB, 1968580 KB, 1542824 KB, 2191356 KB
1754084 KB, 1968580 KB, 1604768 KB, 2191356 KB
1787084 KB, 1968580 KB, 1604768 KB, 2191356 KB
1744068 KB, 1968580 KB, 1669992 KB, 2191356 KB
1776828 KB, 1968580 KB, 1669992 KB, 2191356 KB
1785628 KB, 1968580 KB, 1690216 KB, 2191356 KB
1770580 KB, 1968580 KB, 1732968 KB, 2191356 KB
1802660 KB, 1968580 KB, 1732968 KB, 2191356 KB
1759168 KB, 1968580 KB, 1800564 KB, 2191356 KB
1792320 KB, 1968580 KB, 1800564 KB, 2191356 KB
1725556 KB, 1968580 KB, 1885472 KB, 2191356 KB
1758508 KB, 1968580 KB, 1885472 KB, 2191356 KB
1781872 KB, 1968580 KB, 1890652 KB, 2191356 KB
1738860 KB, 1968580 KB, 1957680 KB, 2191356 KB
1771908 KB, 1968580 KB, 1957424 KB, 2191356 KB
1727304 KB, 1968580 KB, 2024348 KB, 2191356 KB
1760064 KB, 1968580 KB, 2024348 KB, 2191356 KB
1770384 KB, 1968580 KB, 2045660 KB, 2191356 KB
1748116 KB, 1968580 KB, 2091264 KB, 2191356 KB
1780120 KB, 1968580 KB, 2091008 KB, 2191356 KB
1742908 KB, 1968580 KB, 2151724 KB, 2191356 KB
1775916 KB, 1968580 KB, 2151724 KB, 2191356 KB
1760332 KB, 1968580 KB, 2191356 KB, 2191356 KB
1792160 KB, 1968580 KB, 2191264 KB, 2191356 KB
1822728 KB, 1968580 KB, 2191248 KB, 2191356 KB
1852320 KB, 1968580 KB, 2191232 KB, 2191356 KB
1864712 KB, 1968580 KB, 1466988 KB, 2191356 KB
577956 KB, 1968580 KB, 1066932 KB, 2191356 KB
555572 KB, 1968580 KB, 1066164 KB, 2191356 KB
653524 KB, 1968580 KB, 1021108 KB, 2191356 KB
668004 KB, 1968580 KB, 1019828 KB, 2191356 KB
673900 KB, 1968580 KB, 1019060 KB, 2191356 KB
