2024-04-24 14:44:32, 2340900 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:33, 2327892 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:34, 2327208 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:35, 2347764 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:36, 2334692 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:37, 2330044 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:38, 2333912 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:40, 2343748 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:41, 2369768 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:42, 2399016 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:43, 2411016 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:44, 2443044 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:45, 2478076 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:46, 2522088 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:47, 2531828 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:48, 2562556 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:49, 2582580 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:50, 2610800 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:51, 2655036 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:52, 2692884 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:53, 2703056 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:54, 2735172 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:55, 2787216 KB, 7934348 KB, 256 KB, 2097148 KB
2024-04-24 14:44:56, 2818724 KB, 7934348 KB, 3584 KB, 2097148 KB
2024-04-24 14:44:57, 2837428 KB, 7934348 KB, 3584 KB, 2097148 KB
2024-04-24 14:44:58, 2868960 KB, 7934348 KB, 3584 KB, 2097148 KB
2024-04-24 14:44:59, 2896472 KB, 7934348 KB, 3584 KB, 2097148 KB
2024-04-24 14:45:00, 2938704 KB, 7934348 KB, 768 KB, 2097148 KB
2024-04-24 14:45:01, 2968772 KB, 7934348 KB, 768 KB, 2097148 KB
2024-04-24 14:45:02, 2999716 KB, 7934348 KB, 768 KB, 2097148 KB
2024-04-24 14:45:03, 3010132 KB, 7934348 KB, 768 KB, 2097148 KB
2024-04-24 14:45:04, 3038280 KB, 7934348 KB, 12800 KB, 2097148 KB
2024-04-24 14:45:05, 3101720 KB, 7934348 KB, 12800 KB, 2097148 KB
2024-04-24 14:45:06, 3136320 KB, 7934348 KB, 37888 KB, 2097148 KB
2024-04-24 14:45:07, 3147920 KB, 7934348 KB, 37888 KB, 2097148 KB
2024-04-24 14:45:08, 3177100 KB, 7934348 KB, 37888 KB, 2097148 KB
2024-04-24 14:45:09, 3216244 KB, 7934348 KB, 37888 KB, 2097148 KB
2024-04-24 14:45:10, 3230976 KB, 7934348 KB, 83712 KB, 2097148 KB
2024-04-24 14:45:11, 3266224 KB, 7934348 KB, 83712 KB, 2097148 KB
2024-04-24 14:45:12, 3290916 KB, 7934348 KB, 83712 KB, 2097148 KB
2024-04-24 14:45:13, 3310120 KB, 7934348 KB, 83712 KB, 2097148 KB
2024-04-24 14:45:14, 3315412 KB, 7934348 KB, 83712 KB, 2097148 KB
2024-04-24 14:45:15, 3351016 KB, 7934348 KB, 113920 KB, 2097148 KB
2024-04-24 14:45:16, 3388812 KB, 7934348 KB, 113920 KB, 2097148 KB
2024-04-24 14:45:17, 3376496 KB, 7934348 KB, 138496 KB, 2097148 KB
2024-04-24 14:45:18, 3404852 KB, 7934348 KB, 138496 KB, 2097148 KB
2024-04-24 14:45:19, 3441476 KB, 7934348 KB, 138496 KB, 2097148 KB
2024-04-24 14:45:20, 3427732 KB, 7934348 KB, 177664 KB, 2097148 KB
2024-04-24 14:45:21, 3460384 KB, 7934348 KB, 177664 KB, 2097148 KB
2024-04-24 14:45:22, 3493260 KB, 7934348 KB, 177664 KB, 2097148 KB
2024-04-24 14:45:23, 3504868 KB, 7934348 KB, 177664 KB, 2097148 KB
2024-04-24 14:45:24, 3509788 KB, 7934348 KB, 203520 KB, 2097148 KB
2024-04-24 14:45:25, 3570636 KB, 7934348 KB, 203520 KB, 2097148 KB
2024-04-24 14:45:26, 3601732 KB, 7934348 KB, 203520 KB, 2097148 KB
2024-04-24 14:45:27, 3613104 KB, 7934348 KB, 203520 KB, 2097148 KB
2024-04-24 14:45:28, 3623640 KB, 7934348 KB, 233216 KB, 2097148 KB
2024-04-24 14:45:29, 3657892 KB, 7934348 KB, 233216 KB, 2097148 KB
2024-04-24 14:45:30, 3690356 KB, 7934348 KB, 233216 KB, 2097148 KB
2024-04-24 14:45:31, 3713180 KB, 7934348 KB, 238592 KB, 2097148 KB
2024-04-24 14:45:32, 3713052 KB, 7934348 KB, 265216 KB, 2097148 KB
2024-04-24 14:45:33, 3733240 KB, 7934348 KB, 265216 KB, 2097148 KB
2024-04-24 14:45:34, 3776048 KB, 7934348 KB, 265216 KB, 2097148 KB
2024-04-24 14:45:35, 3797168 KB, 7934348 KB, 289280 KB, 2097148 KB
2024-04-24 14:45:36, 3831420 KB, 7934348 KB, 289280 KB, 2097148 KB
2024-04-24 14:45:37, 3842480 KB, 7934348 KB, 289280 KB, 2097148 KB
2024-04-24 14:45:38, 3851100 KB, 7934348 KB, 296960 KB, 2097148 KB
2024-04-24 14:45:39, 3888568 KB, 7934348 KB, 296960 KB, 2097148 KB
2024-04-24 14:45:40, 3924228 KB, 7934348 KB, 296960 KB, 2097148 KB
2024-04-24 14:45:41, 3950692 KB, 7934348 KB, 296960 KB, 2097148 KB
2024-04-24 14:45:42, 3956540 KB, 7934348 KB, 328704 KB, 2097148 KB
2024-04-24 14:45:43, 3974892 KB, 7934348 KB, 328704 KB, 2097148 KB
2024-04-24 14:45:44, 4014148 KB, 7934348 KB, 328704 KB, 2097148 KB
2024-04-24 14:45:45, 4033828 KB, 7934348 KB, 373504 KB, 2097148 KB
2024-04-24 14:45:46, 4069744 KB, 7934348 KB, 373504 KB, 2097148 KB
2024-04-24 14:45:47, 4083140 KB, 7934348 KB, 373504 KB, 2097148 KB
2024-04-24 14:45:48, 4021132 KB, 7934348 KB, 453888 KB, 2097148 KB
2024-04-24 14:45:49, 4066592 KB, 7934348 KB, 453888 KB, 2097148 KB
2024-04-24 14:45:50, 4101008 KB, 7934348 KB, 453888 KB, 2097148 KB
2024-04-24 14:45:51, 4088600 KB, 7934348 KB, 508416 KB, 2097148 KB
2024-04-24 14:45:52, 4119692 KB, 7934348 KB, 508416 KB, 2097148 KB
2024-04-24 14:45:53, 4139584 KB, 7934348 KB, 508416 KB, 2097148 KB
2024-04-24 14:45:54, 4181848 KB, 7934348 KB, 508416 KB, 2097148 KB
2024-04-24 14:45:55, 4170896 KB, 7934348 KB, 560384 KB, 2097148 KB
2024-04-24 14:45:56, 4186336 KB, 7934348 KB, 560384 KB, 2097148 KB
2024-04-24 14:45:57, 4217380 KB, 7934348 KB, 560384 KB, 2097148 KB
2024-04-24 14:45:58, 4200584 KB, 7934348 KB, 606464 KB, 2097148 KB
2024-04-24 14:45:59, 4233576 KB, 7934348 KB, 606464 KB, 2097148 KB
2024-04-24 14:46:00, 4266724 KB, 7934348 KB, 606464 KB, 2097148 KB
2024-04-24 14:46:01, 4286536 KB, 7934348 KB, 638720 KB, 2097148 KB
2024-04-24 14:46:02, 4316428 KB, 7934348 KB, 638720 KB, 2097148 KB
2024-04-24 14:46:03, 4338888 KB, 7934348 KB, 638720 KB, 2097148 KB
2024-04-24 14:46:04, 4362332 KB, 7934348 KB, 660480 KB, 2097148 KB
2024-04-24 14:46:05, 4376180 KB, 7934348 KB, 685312 KB, 2097148 KB
2024-04-24 14:46:06, 4384264 KB, 7934348 KB, 709888 KB, 2097148 KB
2024-04-24 14:46:07, 4416144 KB, 7934348 KB, 709888 KB, 2097148 KB
